,Año comercial,RUT,DV,Razón social,Tramo según ventas,Número de trabajadores dependientes informados,Fecha inicio de actividades vigente,Fecha término de giro,Tipo término de giro,Tipo de contribuyente,Subtipo de contribuyente,Tramo capital propio positivo,Tramo capital propio negativo,Rubro económico,Subrubro económico,Actividad económica,Región,Provincia,Comuna,Calle,Número,Bloque,Departamento,Villa,Ciudad,regimen_final,lat,lon
0,2018,77115570,7,SERVICIOS Y COMERCIAL RAUCO LIMITADA,13,1145,1998-02-03,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,10.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Providencia,NUEVA DE LYON,72.0,,902,,STGO.,r 14 B,-33.421322,-70.6106703
1,2018,76057769,3,COMERCIALIZADORA DE PRODUCTOS ALIMENTICIOS MYLPAN LIMITADA,11,37,2009-05-27,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,10.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,La Pintana,AV FRESIA,1685.0,,,,STGO,r 14 B,-33.596185,-70.65805
2,2018,86520500,7,JOSE RIVERO LLAMAZALES Y COMPANIA LIMITADA,11,328,1993-01-01,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,10.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Santiago,SAN DIEGO,767.0,,,,,r 14 B,-33.4551015,-70.6499939
3,2018,76594471,6,COMERCIALIZADORA Y ELABORADORA HIDALGO Y COMPANIA LIMITADA,9,134,2016-08-26,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,9.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Santiago,FRANKLIN,1321.0,,,,SANTIAGO,r 14 A,-33.4732968,-70.6501332
4,2018,77680650,1,RESTAURANT CHEF KING LIMITADA,9,77,2001-11-30,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,10.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Las Condes,AV LAS CONDES,8956.0,,,,STGO,r 14 B,-33.3936032,-70.5451594
5,2018,50864940,1,HERMANN KREITLING ERIKA Y OTRO,8,8,1998-11-05,,,SIN PER. JURIDICA,SOCIEDADES DE HECHO,9.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Maipo,San Bernardo,ARTURO PRAT,668.0,,,,STGO,r 14 A,-33.5923553,-70.70619529999999
6,2018,76125328,K,PANADERIA BOLIVAR SPA,8,26,2010-12-17,,,PERSONA JURIDICA COMERCIAL,SOCIEDAD POR ACCIONES,9.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Ñuñoa,SIMON BOLIVAR,4088.0,,,,SANTIAGO,r 14 A,-33.4483352,-70.587614
7,2018,76192530,K,COMERCIAL QUINTEROS LIMITADA,8,17,2004-12-01,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,10.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Santiago,DIAGONAL CERVANTES,718.0,,,,SANTIAGO,r 14 B,-33.4348583,-70.6496849
8,2018,76299843,2,DISTRIBUIDORA GENERAL FLORES SPA,8,0,2013-06-24,,,PERSONA JURIDICA COMERCIAL,SOCIEDAD POR ACCIONES,9.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Santiago,Providencia,GENERAL FLORES,202.0,,,,SANTIAGO,r 14 A,-33.4265857,-70.6199333
9,2018,76310957,7,COMERCIAL E INDUSTRIAL PRODESUR CHILE LIMITADA,8,16,2013-11-27,,,PERSONA JURIDICA COMERCIAL,SOC. RESPONSABILIDAD LIMITADA,6.0,,"G - Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas","472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería,Región Metropolitana de Santiago,Talagante,Padre Hurtado,AVENIDA JOSE LUIS CARO,1671.0,,,,SANTIAGO,r 14 A,-33.5590088,-70.8238302
